Doc ID,OCR4ALL ID,Category,CER,Total chars,Errs,Sync errors
104-10064-10015_to__from,311,high-faded,74.31%,1514,1125,1909
104-10076-10000_to_director_from_jmwave,312,high-faded,68.52%,864,592,1070
104-10076-10116_to_director_from_jmwave,313,high-faded,56.48%,563,318,522
104-10076-10372_to_director_from_jmwave,314,high-faded,X,,,
104-10183-10261_to_wh_8_from_san_salvador,315,high-faded,X,,,
104-10063-10160_to_withheld_from_headquarters,321,high-regular,35.83%,1334,478,555
104-10063-10162_to_withheld_from_ciaciso,322,high-regular,56.94%,1326,755,1314
104-10071-10404_to_ober_richard_cia_from_ciopdc_cia .png,323,high-regular,82.57%,1377,1137,1804
104-10071-10405_to_cia_from_ober_richard_cia,324,high-regular,80.72%,1250,1009,1856
104-10412-10005_to_withheld_from_withheld,325,high-regular,74.56%,1474,1099,1871
104-10075-10365_to_director_from_jmwave,331,high-blurry,72.44%,1437,1041,1888
104-10076-10277_to_director_from_jmwave,332,high-blurry,80.70%,1119,903,1627
104-10076-10442_to_director_from_jmwave,333,high-blurry,82.26%,1133,932,1536
104-10077-10112_to_jmwave_from_director,334,high-blurry,63.53%,765,486,840
104-10077-10112_to_jmwave_from_director,335,high-blurry,X,,,
104-10093-10266_to_director_from_mexico_city,211,low-faded,59.11%,1235,730,1185
104-10179-10022_to_director_from_havana,212,low-faded,54.23%,732,397,574
104-10192-10229_to_director_from_wave,213,low-faded,47.78%,441,923,564
104-10218-10097_to_mexico_city_from_guatemala_city,214,low-faded,34.20%,1000,342,359
104-10219-10418_to_director_wave_from_mexico_city,215,low-faded,35.44%,1267,449,489
104-10074-10403_to__from,221,low-regular,29.70%,1313,390,441
104-10123-10019_to_withheld_from_eass,222,low-regular,56.54%,1201,679,947
104-10147-10304_to_withheld_from_director,223,low-regular,42.49%,1365,580,974
104-10192-10154_to_director_from_havana,224,low-regular,40.98%,1098,450,485
104-10308-10189_to__from,225,low-regular,62.20%,1397,869,1312
104-10077-10266_to_jmwave_from_director,231,low-blurry,64.79%,551,357,440
104-10100-10065_to_mexico_city_from_director,232,low-blurry,64.32%,569,366,554
104-10101-10135_to_paris_info_mexico_city_from_director,233,low-blurry,X,,,
104-10101-10198_to_mexico_city_from_director,234,low-blurry,58.80%,903,531,713
104-10101-10227_to_multiple_addressees_from_director,235,low-blurry,74.17%,480,356,555?
104-10147-10301_to_director_from_withheld,111,no-faded,35.25%,1271,448,512
104-10161-10097_to_director_from_withheld,112,no-faded,29.05%,1425,414,447
104-10179-10088_to_director_from_havana,113,no-faded,39.95%,1259,503,540
104-10179-10195_to_director_from_san_jose,114,no-faded,31.24%,1258,393,411
104-10183-10436_to_withheld_from_director,115,no-faded,39.16%,1019,399,595
104-10071-10407_to_cia_from_ober_richard_cia,121,no-regular,30.82%,1009,311,363
104-10135-10145_to_director_from_withheld,122,no-regular,7.78%,450,35,35
104-10161-10091_to_director_from,123,no-regular,19.83%,1417,281,319
104-10178-10120_to_multi_addresses_from_director,124,no-regular,30.64%,1064,326,407
104-10178-10130_to_multi_addresses_from_director,125,no-regular,19.91%,1120,223,267
104-10077-10087_to_jmwave_from_director,131,no-blurry,55.50%,555,308,473
104-10077-10285_to_jmwave_from_director,132,no-blurry,38.99%,513,200,242
104-10101-10215_to_multiple_addressees_from_director,133,no-blurry,58.49%,648,379,508
104-10179-10027_to_jmash_havana_from_director,134,no-blurry,49.64%,691,343,474
104-10183-10037_to_rome_from_director,135,no-blurry,29.30%,860,252,273
